282386,!July 4th|50.0|100.0?
571823,!July 4th|50.0|100.0?
140949,!July 4th|50.0|100.0?
136127,!July 4th|50.0|100.0?
697280,!July 4th|50.0|100.0?
800900,!July 4th|50.0|100.0?!July 4th|100.0|100.0?!July 4th|75.0|100.0?
257446,
124461,
236681,!July 4th|50.0|100.0?
351962,
<<<<<<< Updated upstream
743606,
686621,
383240,
23674,
145393,
585615,
783242,
299859,
580256,
347734,
483753,
78194,
757372,
342118,
858625,
716823,
327367,
450528,
994228,
188545,
252463,
454314,
331962,
650846,
789412,
39103,
749983,
534837,
401322,
886801,
171080,
99149,
278185,
485830,
373691,
910284,
398639,
905550,
710850,
837773,
364172,
671730,
363495,
991993,
182236,
531623,
592484,
417720,
306227,
870468,
850689,
627401,
222652,
191837,
67198,
673696,
174153,
58735,
727496,
459107,
578494,
288161,
35590,
629705,
242042,
497562,
586694,
635826,
247857,
794578,
96470,
473780,
171934,
761475,
714162,
998507,
952773,
728734,
152382,
517040,
850429,
561638,
745607,
494265,
378313,
968992,
769922,
632604,
50820,
409231,
559956,
657467,
976887,
597704,
943537,
674061,
191417,
851609,
952131,
155662,
182109,
169377,
12342,
400728,
596228,
645038,
703024,
571674,
151713,
251058,
615983,
116272,
610171,
973132,
947403,
=======
755431,
938684,
876074,!July 4th|50.0|100.0?!July 4th|25.0|100.0?
696074,
455336,
363182,
719761,
401315,
556212,
115913,
>>>>>>> Stashed changes
804303,
213294,
367602,!July 4, 2025|0.0|100.0?!July 4th|50.0|100.0?!July 4, 2025|0.0|100.0?!July 4th|50.0|100.0?!July 4, 2025|0.0|100.0?!July 4th|50.0|100.0?!July 4, 2025|0.0|100.0?!July 4th|50.0|100.0?!July 4, 2025|0.0|100.0?!July 4th|50.0|100.0?!July 4th|50.0|100.0?!July 4, 2025|0.0|100.0?!July 4th|50.0|100.0?!July 4th|50.0|100.0?!July 4, 2025|0.0|100.0?!July 4th|50.0|100.0?!July 4th|50.0|100.0?!July 4, 2025|0.0|100.0?!July 4th|50.0|100.0?!July 4th|50.0|100.0?!July 4, 2025|0.0|100.0?!July 4th|50.0|100.0?!July 4th|50.0|100.0?!July 4, 2025|0.0|100.0?!July 4th|50.0|100.0?
